run_date,prediction_date,ticker,rank_bucket,agreement_status,suggested_action,reason,current_price,ensemble_score,ensemble_rank,ensemble_percentile,model_count,top_decile_model_count,top_5pct_model_count,best_model_score,best_model_percentile
2026-05-08T20:27:33Z,2026-05-07,WING,TOP_3_PERCENT,VERY STRONG (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,134.88,0.5818623602390289,94,1.9689987431922915,3,1,1,0.7602589130401611,0.02094679514034353
2026-05-08T20:27:33Z,2026-05-07,ESGL,TOP_3_PERCENT,VERY STRONG (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,2.13,0.5812027454376221,97,2.031839128613322,3,1,1,0.6148543357849121,1.1730205278592376
2026-05-08T20:27:33Z,2026-05-07,WNW,TOP_3_PERCENT,VERY STRONG (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,3.67,0.580932100613912,101,2.1156263091746963,3,1,1,0.6135655045509338,0.795978215333054
2026-05-08T20:27:33Z,2026-05-07,OLOX,TOP_3_PERCENT,VERY STRONG (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,4.576,0.5787887175877889,109,2.2832006702974446,3,1,1,0.6183881163597107,0.5236698785085881
2026-05-08T20:27:33Z,2026-05-07,BBGI,TOP_3_PERCENT,VERY STRONG (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,17.46,0.5785150726636251,110,2.304147465437788,3,1,1,0.6162497997283936,1.235860913280268
2026-05-08T20:27:33Z,2026-05-07,AZI,TOP_3_PERCENT,VERY STRONG (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,1.26,0.5784681439399719,111,2.3250942605781315,3,1,1,0.6233485341072083,1.5291160452450776
2026-05-08T20:27:33Z,2026-05-07,VTIX,TOP_5_PERCENT,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,3.97,0.5704634388287863,156,3.2677000418935904,3,1,1,0.7016676664352417,0.8378718056137411
2026-05-08T20:27:33Z,2026-05-07,AIFF,TOP_5_PERCENT,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,1.9,0.5702255566914877,157,3.2886468370339337,3,1,1,0.6086485981941223,1.6966904063678256
2026-05-08T20:27:33Z,2026-05-07,TMDX,TOP_5_PERCENT,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,72.9,0.5700870851675669,159,3.330540427314621,3,1,1,0.7536154389381409,0.08378718056137412
2026-05-08T20:27:33Z,2026-05-07,CDIO,TOP_5_PERCENT,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,1.81,0.5680203437805176,168,3.5190615835777126,3,1,1,0.6009613275527954,1.6757436112274822
2026-05-08T20:27:33Z,2026-05-07,JDZG,TOP_5_PERCENT,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,1.43,0.5676865776379904,171,3.5819019689987432,3,1,1,0.5957841873168945,0.7750314201927105
2026-05-08T20:27:33Z,2026-05-07,RMSG,TOP_5_PERCENT,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,1.79,0.5669429500897726,176,3.686635944700461,3,1,1,0.6074506640434265,0.7121910347716799
2026-05-08T20:27:33Z,2026-05-07,UI,TOP_5_PERCENT,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,926.69,0.5664239724477133,182,3.812316715542522,3,1,1,0.6875877380371094,1.6547968160871387
2026-05-08T20:27:33Z,2026-05-07,QNCX,TOP_5_PERCENT,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,1.3,0.5659259160359701,185,3.8751571009635524,3,1,1,0.5967618823051453,1.8433179723502304
2026-05-08T20:27:33Z,2026-05-07,ANGI,TOP_5_PERCENT,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,5.24,0.5655601521333059,187,3.9170506912442398,3,1,1,0.7163457870483398,0.397989107666527
2026-05-08T20:27:33Z,2026-05-07,BW,TOP_5_PERCENT,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,14.84,0.5631386935710907,205,4.294093003770423,3,1,1,0.7142987251281738,0.4398826979472141
2026-05-08T20:27:33Z,2026-05-07,TRDA,TOP_5_PERCENT,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,6.85,0.5629408756891886,209,4.377880184331797,3,1,1,0.6202203631401062,2.9953917050691246
2026-05-08T20:27:33Z,2026-05-07,FLS,TOP_5_PERCENT,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,71.54,0.5622787276903788,212,4.440720569752828,3,1,1,0.6971151232719421,0.2304147465437788
